OBJECTID,YEAR2040,SHAPE_Area,lon,lat
6757,0,101781.8314,-111.8896675,40.75957026
6758,0,101607.7822,-111.8868051,40.75957273
6759,50,101656.824,-111.8839479,40.76826896
6760,727,101831.0089,-111.8810847,40.76826856
6761,348,101879.2979,-111.8839465,40.76609553
6762,653,101737.6343,-111.8810838,40.76609636
6763,491,101890.1696,-111.8839452,40.76392045
6764,193,102008.5136,-111.8810821,40.76392179
6765,440,101865.9791,-111.8839448,40.76174594
6766,127,101744.6126,-111.8810799,40.76174734
6767,143,533086.3124,-111.909173,40.75856583
6768,0,101886.4203,-111.9039662,40.75956112
6769,279,101486.0794,-111.9011079,40.75956483
6770,502,101593.6457,-111.8982508,40.75956607
6771,120,101650.9061,-111.8953924,40.7595679
6772,0,102277.2344,-111.90396,40.75738751
6773,279,101110.9339,-111.9011,40.75739008
6774,443,101834.1427,-111.8982501,40.75739167
6775,508,101759.4549,-111.8953903,40.75739395
6776,381,101893.6868,-111.8925291,40.75739551
6777,5,101889.1374,-111.8896656,40.75739683
6778,2016,580661.3788,-111.9081514,40.75327748
6779,239,102772.4176,-111.9039523,40.75521197
6780,342,100840.6584,-111.9010949,40.75521397
6781,432,101771.3156,-111.8982488,40.75521567
6782,598,101842.2465,-111.8953891,40.75521755
6783,462,102111.9655,-111.8925279,40.7552184
6784,617,102017.1758,-111.8896634,40.7552202
6785,922,206556.6692,-111.9039432,40.75194456
6786,1085,200548.7922,-111.9010847,40.75195079
6787,1117,203643.1152,-111.898247,40.75195141
6788,1105,203457.6447,-111.8953879,40.75195319
6789,820,203910.4171,-111.8925259,40.75195414
6790,185,203630.3066,-111.889662,40.75195677
6791,0,101856.865,-111.8839417,40.7595727
6792,115,101729.7386,-111.8810797,40.75957445
6793,141,101789.7545,-111.8868041,40.75739902
6794,509,101925.1967,-111.8839419,40.75739918
6795,403,101699.1637,-111.8810774,40.75740139
6796,279,101869.2691,-111.8868033,40.75522207
6797,851,102106.855,-111.8839389,40.75522377
6798,202,101919.6626,-111.8810762,40.75522576
6799,420,203440.8133,-111.8868009,40.75195761
6800,590,204105.8844,-111.8839377,40.75196095
6801,0,7216489.308,-111.9071296,40.80799393
6802,0,2314623.416,-111.924466,40.81510817
6803,1031,341998.648,-111.9078261,40.77370112
6804,534,466776.2503,-111.913545,40.77371118
6805,1424,202119.4461,-111.9039776,40.77371043
6806,22,3186494.205,-111.9094784,40.79127163
6807,1070,305343.0841,-111.9039804,40.77913071
6808,1845,507169.2814,-111.9011195,40.77697106
6809,598,587545.1342,-111.8882901,40.78296791
6810,946,780349.1855,-111.8971243,40.78559029
6811,957,425696.2715,-111.892858,40.77869445
6812,2616,613304.9359,-111.8953738,40.77373892
6813,851,439441.5006,-111.8975922,40.77896691
6814,0,346677.0521,-111.8878044,40.77792961
6815,855,341508.1321,-111.8887194,40.77390789
