F2040,lon,lat
30000,-111.8925491,40.72543758
31500,-111.8968604,40.72543309
27000,-111.8451291,40.7256978
355000,-111.9042518,40.72197291
16000,-111.9019531,40.72541933
27000,-111.8509474,40.72573499
21000,-111.9170196,40.72490502
15500,-111.9078431,40.72553146
36500,-111.9389608,40.72494956
7600,-111.9278842,40.7258922
11000,-111.9693509,40.7337327
44000,-111.8175013,40.7297462
3900,-111.8226911,40.73358549
10500,-111.8307905,40.7295419
6200,-111.8279108,40.73358637
7700,-111.8479948,40.7296643
5100,-111.8365253,40.72955048
7800,-111.8336468,40.73358938
6800,-111.8422569,40.73356006
2600,-111.8422795,40.72953327
33500,-111.8538664,40.72946198
9100,-111.8509058,40.73350597
16500,-111.8596171,40.72946594
10500,-111.8567198,40.73351305
13000,-111.865342,40.72946911
10000,-111.8624802,40.7335125
52000,-111.871088,40.72947318
14500,-111.8682056,40.73351337
9600,-111.8767787,40.72947622
13500,-111.8739232,40.73351421
4600,-111.8825255,40.72947727
13500,-111.8796319,40.73351466
35500,-111.8882167,40.72948848
13500,-111.8853525,40.73351444
13500,-111.891075,40.72947748
17500,-111.8896484,40.73351506
40000,-111.9389723,40.7295129
7400,-111.8939515,40.72947813
17000,-111.8925137,40.73351478
20500,-111.8996742,40.72945898
17500,-111.8968078,40.73351392
335500,-111.9043749,40.73351881
17500,-111.9053937,40.73351246
120500,-111.9497062,40.73279732
12500,-111.9485076,40.73316588
14500,-111.9610658,40.72834743
17000,-111.916814,40.72959736
18000,-111.927898,40.73332882
10000,-111.8250349,40.73631027
44000,-111.8226773,40.7363083
11500,-111.9168186,40.73701265
15000,-111.9580475,40.73678994
27500,-111.953599,40.74046724
36500,-111.9389872,40.73690424
10500,-111.9279222,40.74046211
20500,-111.9650902,40.74041251
29500,-111.944056,40.74058301
500,-111.8250279,40.74034364
45500,-111.8261493,40.74034298
10500,-111.8307495,40.73761878
8100,-111.8290021,40.7416515
4700,-112.006324,40.72608156
5100,-111.836521,40.73762034
7400,-111.8336236,40.74165071
8100,-111.8479699,40.73756382
8400,-111.8422378,40.74164873
24000,-111.8538222,40.73757966
9600,-111.8509295,40.74164415
17500,-112.0249048,40.73299029
17000,-112.0153766,40.74021527
9500,-111.8596177,40.73757675
10000,-111.8567597,40.7416418
13500,-111.8653422,40.73757676
13000,-111.8624798,40.74163958
52500,-111.8710692,40.73757422
11500,-111.8682058,40.74163633
7000,-111.8767841,40.73757187
14500,-111.8739252,40.74163222
5700,-111.8824907,40.73757078
17000,-111.8796381,40.74162911
35000,-111.888222,40.73756961
16500,-111.8853599,40.74162555
13500,-111.8910811,40.73756693
20500,-111.8896551,40.74162062
7500,-111.8939512,40.73756861
19500,-111.892519,40.74161988
23000,-111.8996686,40.73756383
20000,-111.8968119,40.74161618
17500,-112.0460285,40.74025784
35000,-111.901868,40.74161239
20000,-111.9105739,40.74142125
98000,-111.9883475,40.73449857
27000,-111.9776976,40.74070633
18000,-111.9977179,40.74190102
8800,-111.8307013,40.74364086
42000,-111.828875,40.74354786
28500,-112.0249334,40.7475343
9000,-111.8939558,40.74569829
8600,-111.8478524,40.74580932
24000,-111.8539026,40.74572186
5900,-111.8505049,40.74976724
5500,-111.8595639,40.74572083
11000,-111.8567063,40.74980121
14000,-111.8653422,40.74571773
10500,-111.8624265,40.74979856
49500,-111.8710695,40.74571384
12500,-111.8682065,40.74979578
6900,-111.8767845,40.7457111
13500,-111.8739284,40.74979267
4100,-111.8824979,40.74570764
14500,-111.8796438,40.74978796
31500,-111.8882269,40.74570423
14500,-111.8853652,40.74978491
15500,-111.8910885,40.74569973
20500,-111.8896609,40.74978335
18500,-111.8925251,40.74977947
28000,-111.8996728,40.74569439
14000,-111.8968166,40.74977686
291500,-111.9045532,40.74460204
11500,-111.9053848,40.74976861
16500,-111.9168259,40.74513831
10500,-111.9139614,40.74976095
10500,-111.9580489,40.74500567
45000,-111.8306414,40.7481103
5000,-111.8365166,40.74619829
22500,-111.8335974,40.75074732
6400,-111.8458619,40.74999653
18000,-111.8409235,40.75075106
26500,-111.9390038,40.74596177
24000,-111.8539018,40.75088857
18000,-111.8497335,40.75106242
600,-111.8595095,40.75088568
20000,-111.8596217,40.75197219
15000,-111.8653427,40.75088398
48500,-111.8710707,40.75088233
18500,-111.8682069,40.75196959
7500,-111.8767868,40.75087958
20500,-111.8739291,40.7519671
4600,-111.8825023,40.7508761
24000,-111.8796452,40.75196304
46000,-111.8882307,40.7508727
25000,-111.8853673,40.75196044
15000,-111.8910927,40.75086865
27500,-111.889662,40.75195798
34500,-111.8939581,40.75086631
28000,-111.8925257,40.75195739
28500,-111.899676,40.75086377
22000,-111.8968175,40.75195457
16500,-111.9053965,40.75194771
16500,-111.9168304,40.75084948
16500,-111.912556,40.75194183
13000,-111.9278788,40.7513891
108000,-111.9494227,40.75299797
7100,-111.9488695,40.75089819
49000,-111.8330588,40.75414777
70500,-111.9872001,40.75374894
8000,-111.9867704,40.75588009
4700,-112.0135038,40.75480987
15000,-111.8653433,40.75414507
49000,-111.8710706,40.75414297
8700,-111.8682072,40.75631944
7600,-111.8767882,40.75414246
18000,-111.8739303,40.75631646
5100,-111.8825054,40.75413942
24000,-111.8796487,40.75631552
23500,-111.8839407,40.7563134
41000,-111.8882319,40.75413603
12500,-111.9001885,40.78850933
39500,-111.9111568,40.76064514
16500,-111.8911106,40.77260717
18000,-111.8853762,40.76174443
20500,-111.8996816,40.76173097
13000,-111.8968228,40.76173078
30500,-111.8939634,40.76173227
10500,-111.8911024,40.76172953
31500,-111.8882369,40.76173878
38000,-111.9011259,40.76065105
40500,-111.9011108,40.75847713
58000,-111.9011133,40.75630251
1900,-111.8678416,40.77170284
18500,-111.8538943,40.76392909
44500,-111.8710716,40.76394085
6700,-111.8825143,40.76392142
9400,-111.8767927,40.76393179
14000,-111.8653438,40.7617387
24500,-111.8538985,40.75740797
15500,-111.9139689,40.73351017
18000,-111.9010945,40.75195164
32500,-111.8939594,40.75303241
24000,-111.8996775,40.75302706
10500,-111.8910939,40.75303405
30000,-112.0268419,40.74026796
21500,-112.0249709,40.75849099
10500,-111.9721175,40.75401095
31000,-111.9862885,40.74266267
14500,-111.9141634,40.72557602
2700,-111.8678421,40.7728379
65500,-112.0328845,40.77091004
8300,-111.8242096,40.74196607
61000,-112.0287792,40.7329843
5900,-112.0036305,40.74746663
41000,-112.0359749,40.75531735
0,-112.0039216,40.76229188
21000,-112.0632533,40.72925945
13500,-112.044023,40.75490324
17000,-112.0633445,40.74766281
18500,-112.0629884,40.7629701
28500,-112.0631503,40.77401925
200000,-111.9125306,40.76658216
68500,-111.943213,40.83441704
228500,-111.913991,40.76240812
287000,-111.9087535,40.74946938
8800,-111.9207449,40.81657875
58000,-111.8131804,40.71406405
0,-111.7997731,40.75219342
